activity_description,label,duration_minutes,user_id
Reviewing course lecture slides,Utilizing Time for Knowledge Development,92,54
Playing a video game,Utilizing Time for Knowledge Development,73,91
Playing a video game,Utilizing Time for Knowledge Development,91,55
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,45,11
Watching TV shows,Wasting Time,11,68
Taking notes from a lecture video,Utilizing Time for Knowledge Development,13,52
Checking email,Wasting Time,39,29
Playing online crossword puzzles,Utilizing Time for Knowledge Development,80,75
Watching cat videos on YouTube,Wasting Time,82,92
Playing online crossword puzzles,Wasting Time,41,85
Checking email,Utilizing Time for Knowledge Development,75,66
Solving programming exercises,Utilizing Time for Knowledge Development,69,93
Participating in an online quiz,Wasting Time,88,27
Writing an essay for a class assignment,Wasting Time,76,67
Scrolling through social media feeds,Utilizing Time for Knowledge Development,91,75
Scrolling through social media feeds,Utilizing Time for Knowledge Development,66,23
Reading a scientific research paper,Utilizing Time for Knowledge Development,118,26
Playing a video game,Utilizing Time for Knowledge Development,20,15
Online shopping,Utilizing Time for Knowledge Development,112,52
Checking email,Utilizing Time for Knowledge Development,107,80
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,54,69
Playing online crossword puzzles,Utilizing Time for Knowledge Development,18,36
Online shopping,Utilizing Time for Knowledge Development,19,15
Taking notes from a lecture video,Utilizing Time for Knowledge Development,89,31
Writing an essay for a class assignment,Wasting Time,96,73
Playing a video game,Utilizing Time for Knowledge Development,89,82
Coding a personal project,Utilizing Time for Knowledge Development,97,92
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,9,3
Taking notes from a lecture video,Utilizing Time for Knowledge Development,41,25
Participating in an online quiz,Utilizing Time for Knowledge Development,96,9
Reading a scientific research paper,Utilizing Time for Knowledge Development,83,12
Coding a personal project,Utilizing Time for Knowledge Development,12,1
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,88,11
Taking notes from a lecture video,Utilizing Time for Knowledge Development,104,70
Watching TV shows,Utilizing Time for Knowledge Development,108,48
Taking notes from a lecture video,Utilizing Time for Knowledge Development,94,95
Playing a video game,Wasting Time,45,67
Checking email,Utilizing Time for Knowledge Development,98,22
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,73,79
Taking notes from a lecture video,Utilizing Time for Knowledge Development,17,74
Reading a scientific research paper,Wasting Time,72,25
Watching Khan Academy math tutorial,Wasting Time,110,10
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,102,85
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,65,56
Participating in a group discussion on the course forum,Wasting Time,86,10
Watching TV shows,Wasting Time,14,59
Coding a personal project,Wasting Time,112,1
Checking email,Wasting Time,117,1
Watching TV shows,Utilizing Time for Knowledge Development,52,77
Taking notes from a lecture video,Wasting Time,69,58
